GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesRequest.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockResponse,461,0,60,0,125,0,68,0,37,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockMethodDescriptorSupplier,12,0,0,0,4,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockRequest,472,0,62,0,127,0,70,0,38,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockRequest.Builder,408,0,48,0,119,0,60,0,36,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockFutureStub,20,0,0,0,5,0,3,0,3,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesRequest.Builder,148,0,10,0,47,0,27,0,22,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntry,472,0,53,0,131,0,64,0,36,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesResponse.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesRequest,293,0,26,0,89,0,46,0,33,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockRequestType,123,0,10,0,28,0,16,0,10,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockBaseDescriptorSupplier,10,0,0,0,3,0,3,0,3,0
TiKV Java Client,deadlock,DeadlockOuterClass,134,0,0,0,25,0,4,0,4,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockRequestType.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesResponse.Builder,623,0,68,0,170,0,76,0,42,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockImplBase,31,0,0,0,12,0,4,0,4,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockFileDescriptorSupplier,3,0,0,0,1,0,1,0,1,0
TiKV Java Client,org.tikv.common.types,BytesType,264,0,32,0,57,0,31,0,15,0
TiKV Java Client,org.tikv.common.types,TimestampType,95,0,4,0,27,0,13,0,11,0
TiKV Java Client,org.tikv.common.types,DateTimeType,53,0,0,0,12,0,9,0,9,0
TiKV Java Client,org.tikv.common.types,Charset,3,0,0,0,1,0,1,0,1,0
TiKV Java Client,org.tikv.common.types,AbstractDateTimeType,223,0,22,0,47,0,21,0,10,0
TiKV Java Client,org.tikv.common.types,DataType,968,63,130,1,212,22,132,4,58,4
TiKV Java Client,org.tikv.common.types,EnumType,111,0,5,0,30,0,16,0,13,0
TiKV Java Client,org.tikv.common.types,DateType,148,0,14,0,39,0,20,0,13,0
TiKV Java Client,org.tikv.common.types,Converter,912,0,110,0,196,0,77,0,22,0
TiKV Java Client,org.tikv.common.types,JsonType,112,0,2,0,20,0,14,0,13,0
TiKV Java Client,org.tikv.common.types,MySQLType,521,0,4,0,51,0,10,0,8,0
TiKV Java Client,org.tikv.common.types,DataType.EncodeType,34,0,0,0,4,0,1,0,1,0
TiKV Java Client,org.tikv.common.types,StringType,197,0,30,0,44,0,23,0,8,0
TiKV Java Client,org.tikv.common.types,SetType,81,0,3,0,21,0,14,0,12,0
TiKV Java Client,org.tikv.common.types,BitType,152,0,15,0,30,0,18,0,10,0
TiKV Java Client,org.tikv.common.types,DataTypeFactory,261,0,14,0,52,0,13,0,6,0
TiKV Java Client,org.tikv.common.types,RealType,216,0,30,0,54,0,27,0,12,0
TiKV Java Client,org.tikv.common.types,TimeType,101,0,6,0,26,0,15,0,12,0
TiKV Java Client,org.tikv.common.types,UninitializedType,72,0,0,0,16,0,12,0,12,0
TiKV Java Client,org.tikv.common.types,DecimalType,277,0,26,0,63,0,27,0,14,0
TiKV Java Client,org.tikv.common.types,IntegerType,241,0,25,0,58,0,29,0,15,0
TiKV Java Client,replication_modepb,ReplicationModepb.DRAutoSync,570,0,68,0,157,0,75,0,39,0
TiKV Java Client,replication_modepb,ReplicationModepb.RegionReplicationState,123,0,10,0,28,0,16,0,10,0
TiKV Java Client,replication_modepb,ReplicationModepb.ReplicationStatus,472,0,62,0,127,0,70,0,38,0
TiKV Java Client,replication_modepb,ReplicationModepb.ReplicationMode,110,0,9,0,26,0,15,0,10,0
TiKV Java Client,replication_modepb,ReplicationModepb.RegionReplicationStatus.Builder,246,0,18,0,77,0,39,0,30,0
TiKV Java Client,replication_modepb,ReplicationModepb.ReplicationMode.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb.RegionReplicationStatus.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb.ReplicationStatus.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb.DRAutoSyncState,123,0,10,0,28,0,16,0,10,0
TiKV Java Client,replication_modepb,ReplicationModepb.DRAutoSync.Builder,377,0,30,0,122,0,53,0,38,0
TiKV Java Client,replication_modepb,ReplicationModepb.DRAutoSync.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb,4,90,0,0,3,12,2,2,2,2
TiKV Java Client,replication_modepb,ReplicationModepb.ReplicationStatus.Builder,408,0,48,0,119,0,60,0,36,0
TiKV Java Client,replication_modepb,ReplicationModepb.DRAutoSyncState.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb.RegionReplicationStatus,423,0,46,0,118,0,60,0,36,0
TiKV Java Client,replication_modepb,ReplicationModepb.RegionReplicationState.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
TiKV Java Client,replication_modepb,ReplicationModepb.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},0,8,0,0,0,3,0,2,0,2
TiKV Java Client,org.tikv.common.parser,MySqlParserBaseVisitor,295,0,0,0,74,0,74,0,74,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CollateExpressionAtomContext,51,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LevelWeightRangeContext,49,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ConvertedDataTypeContext,113,0,6,0,24,0,23,0,20,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CollationNameContext,46,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.InPredicateContext,56,0,6,0,11,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.FunctionArgContext,59,0,6,0,13,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.BetweenPredicateContext,59,0,6,0,12,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.StringLiteralContext,44,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ExpressionAtomPredicateContext,50,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.BinaryComparisonPredicateContext,50,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.TrimFunctionCallContext,79,0,6,0,16,0,16,0,13,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.HexadecimalLiteralContext,45,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.IntervalTypeBaseContext,75,0,6,0,17,0,16,0,13,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.NestedRowExpressionAtomContext,49,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ValuesFunctionCallContext,45,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LengthOneDimensionContext,41,0,6,0,10,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LikePredicateContext,64,0,6,0,13,0,13,0,10,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.IntervalExpressionAtomContext,51,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.DataTypeFunctionCallContext,72,0,6,0,14,0,14,0,11,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.DataTypeBaseContext,70,0,6,0,16,0,15,0,12,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.UdfFunctionCallContext,46,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.FunctionArgsContext,75,0,6,0,17,0,16,0,13,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ConstantContext,84,0,6,0,18,0,17,0,14,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ExpressionAtomContext,14,0,0,0,6,0,4,0,4,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CharsetNameContext,56,0,6,0,13,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CharsetNameBaseContext,235,0,6,0,49,0,48,0,45,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.PositionFunctionCallContext,64,0,6,0,13,0,13,0,10,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.NotExpressionContext,45,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ScalarFunctionCallContext,46,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.IsExpressionContext,65,0,6,0,13,0,13,0,10,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LevelsInWeightStringContext,14,0,0,0,6,0,4,0,4,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CurrentTimestampContext,61,0,6,0,14,0,13,0,10,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.SimpleIdContext,70,0,6,0,15,0,14,0,11,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.IntervalTypeContext,101,0,6,0,22,0,21,0,18,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LengthTwoDimensionContext,45,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.SpecificFunctionCallContext,40,0,6,0,8,0,8,0,5,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LevelWeightListContext,49,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.KeywordsCanBeIdContext,1410,0,6,0,284,0,283,0,280,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.BinaryExpressionAtomContext,45,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.MathExpressionAtomContext,50,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.SimpleFunctionCallContext,59,0,6,0,12,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ComparisonOperatorContext,35,0,6,0,9,0,8,0,5,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.SoundsLikePredicateContext,54,0,6,0,11,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.NullNotnullContext,50,0,6,0,12,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LogicalOperatorContext,50,0,6,0,12,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.UnaryOperatorContext,40,0,6,0,10,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CharFunctionCallContext,56,0,6,0,11,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser,16026,0,675,0,1894,0,462,0,55,0
TiKV Java Client,org.tikv.common.parser,TiParser,80,0,2,0,19,0,4,0,3,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.GetFormatFunctionCallContext,60,0,6,0,12,0,12,0,9,0
